BookName,Type,Date,Rate
"The Silent Wife: A gripping, emotional page-turner with a twist that will take your breath away  ",Paperback,13-Nov-18,"18,014"
Online Shopping Tracker: Keep Tracking Organizer Notebook for online purchases or shopping orders made through an online website (Vol : 2) (Order log)  ,Paperback,26-Dec-19,11
"my final wishes planner: End of Life Planner, Checklist & Organizer - Detailed Information About My Accounts, Affairs, Belongings & Wishes  ",Paperback,4-Mar-22,51
Everything You Need to Know When I'm Gone - End of Life Planner for Affairs and Last Wishes: A Simple Guide for my Family to Make my Passing Easier  ,Paperback,23-Feb-19,"2,034"
My Password Book: Internet Address Organizer | Password Logbook | Internet Password Book with Tabs | Password Booklet  ,Paperback,5-Jul-20,665
"Password Book: Internet Address And Password Organizer, Password Notebook Journal - 5x8 Inch, Password Keeper Logbook With Elegant Cover  ",Paperback,12-Sep-21,123
"WTF Is My Password: password book, password log book and internet password organizer, alphabetical password book, Logbook To Protect Usernames and ... notebook, password book small 6” x 9”  ",Paperback,19-Mar-19,"2,540"
"End Of Online Shopping, The: The Future Of New Retail In An Always Connected World  ",Paperback,30-Sep-18,7
Stuff I Can't Remember Internet Password Book: Handy Pug Password Organizer and Internet Password Logbook | Great Pug Gift! (Password Keeper Book)  ,Paperback,11-Jan-22,1
"What the fuck is my password: Password logbook, for forgetful humain, easy, keeper, funny for women, reminder book large print, protect username, ... keeping organizer, privite information/gift  ",Paperback,21-Jun-20,659
How People Buy Online: The Psychology Behind Consumer Behaviour  ,Paperback,1-Mar-21,20
The Shopping Addiction Workbook: How to Stop Spending Money Impulsively And Get Your Life Back  ,Paperback,16-Jul-22,1
"Everything You Need to Know When I'm Gone: Everything You Need to Know When I'm Gone End of Life Planner ,Guide to the End of life,My Final Thoughts, Wishes, Important Information about My Belongings  ",Paperback,11-Nov-20,189
A Price Comparison Shopping Tracker Logbook: For Use Online or at Brick-and-Mortar Stores  ,Paperback,1-May-22,1
"Password Notebook: Alphabetical Small Password Organizer Note Book with A-Z index. Record and Keep Track of Passwords, Usernames, Web Addresses, ... Login Details in a Safe & Convenient Places!  ",Paperback,30-Jun-21,284
"Peace of Mind Planner: Important Information about My Belongings, Business Affairs, and Wishes  ",Hardcover-spiral,3-Nov-14,"7,109"
"Online Shopping Tracker: Cute logbook to record purchases, deliveries and returns. Designed for busy individuals, home-based or small business website shopping. Fun cover for cat lovers.  ",Paperback,7-Jul-22,1
My Online-Shopping Tracker: An online shopping book  ,Paperback,19-Feb-20,1
"My Final Wishes - Everything You Need to Know When I'm Gone: End of Life Planner, Checklist & Organizer - Detailed Information About My Accounts, Affairs, Belongings & Wishes  ",Paperback,16-Aug-21,31
What to Do When I am Dead: A Checklist for my Family - A Journal to help your Near & Dear ones navigate Life's Landscape once you are gone  ,Paperback,6-Nov-19,136
It Ends with Us: A Novel (1)  ,Paperback,2-Aug-16,"167,843"
My Account Orders Placed Online Shopping Tracker: All Your Orders From Online Shopping in One Place (Small Password Books)  ,Paperback,5-Aug-21,14
"Thrift Store Reselling Secrets You Wish You Knew: 50 Different Items You Can Buy At Thrift Stores And Sell On eBay And Amazon For Huge Profit ... Store Items, Selling Online, Thrifting)  ",Paperback,6-Dec-18,337
